dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,rrf,ko,multi_omics,facet_conjunctive_macro,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,2,2,0,0
hard_queries,rrf,ko,multi_organism,facet_present_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,rrf,ko,multi_organism,facet_conjunctive_macro,1.0,1.0,0.0,2,2,2,0,0
hard_queries,rrf,ko,negation,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,ko,negation,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,ko,negation,exclusion_clean_at_k,0.8500000000000001,0.8500000000000001,0.04999999999999999,2,2,2,0,0
hard_queries,rrf,ko,paired_multi_tissue,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,rrf,ko,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,rrf_rerank,en,ALL,facet_present_macro,0.7823129251700681,1.0,0.2806173984272183,49,49,49,0,0
hard_queries,rrf_rerank,en,ALL,facet_conjunctive_macro,0.7585034013605442,1.0,0.3036273981827171,49,49,49,0,0
hard_queries,rrf_rerank,en,ALL,exclusion_clean_at_k,0.8,0.9,0.2088931871468374,11,49,49,0,0
hard_queries,rrf_rerank,en,abbrev_ambiguous,facet_present_macro,0.8055555555555555,0.8333333333333333,0.20222527470223664,6,6,6,0,0
hard_queries,rrf_rerank,en,abbrev_ambiguous,facet_conjunctive_macro,0.8055555555555555,0.8333333333333333,0.20222527470223664,6,6,6,0,0
hard_queries,rrf_rerank,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,rrf_rerank,en,abbrev_standard,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,rrf_rerank,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,rrf_rerank,en,abbrev_tcga,facet_present_macro,0.6,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,rrf_rerank,en,abbrev_tcga,facet_conjunctive_macro,0.6,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,rrf_rerank,en,abbrev_tcga,exclusion_clean_at_k,0.6,0.6,0.0,1,5,5,0,0
